Anno;Codice regione;Regione;Codice ASL;ASL;SERD;Categoria Sostanza;Utenti
2024;010;PIEMONTE;203;TO3;A12                    ;OPPIACEI;
2024;010;PIEMONTE;203;TO3;B01                    ;OPPIACEI;1
2024;010;PIEMONTE;203;TO3;B03                    ;OPPIACEI;40
2024;010;PIEMONTE;203;TO3;S01                    ;OPPIACEI;116
2024;010;PIEMONTE;203;TO3;S02                    ;OPPIACEI;88
2024;010;PIEMONTE;203;TO3;S03                    ;OPPIACEI;51
2024;010;PIEMONTE;203;TO3;S08                    ;OPPIACEI;2
2024;010;PIEMONTE;203;TO3;S11                    ;OPPIACEI;60
2024;010;PIEMONTE;203;TO3;S13                    ;OPPIACEI;41
2024;010;PIEMONTE;203;TO3;S16                    ;OPPIACEI;18
2024;010;PIEMONTE;203;TO3;S17                    ;OPPIACEI;27
2024;010;PIEMONTE;203;TO3;S18                    ;OPPIACEI;96
2024;010;PIEMONTE;203;TO3;S19                    ;OPPIACEI;150
2024;010;PIEMONTE;204;TO4;S01                    ;OPPIACEI;124
2024;010;PIEMONTE;204;TO4;S02                    ;OPPIACEI;13
2024;010;PIEMONTE;204;TO4;S03                    ;OPPIACEI;121
2024;010;PIEMONTE;204;TO4;S05                    ;OPPIACEI;171
2024;010;PIEMONTE;204;TO4;S07                    ;OPPIACEI;19
2024;010;PIEMONTE;204;TO4;S18                    ;OPPIACEI;152
2024;010;PIEMONTE;204;TO4;S19                    ;OPPIACEI;208
2024;010;PIEMONTE;204;TO4;S20                    ;OPPIACEI;31
2024;010;PIEMONTE;204;TO4;S22                    ;OPPIACEI;32
2024;010;PIEMONTE;205;TO5;S01                    ;OPPIACEI;100
2024;010;PIEMONTE;205;TO5;S02                    ;OPPIACEI;115
2024;010;PIEMONTE;205;TO5;S03                    ;OPPIACEI;45
2024;010;PIEMONTE;205;TO5;S04                    ;OPPIACEI;96
2024;010;PIEMONTE;206;VC;S01                    ;OPPIACEI;182
2024;010;PIEMONTE;206;VC;S03                    ;OPPIACEI;79
2024;010;PIEMONTE;206;VC;S05                    ;OPPIACEI;16
2024;010;PIEMONTE;207;BI;S01                    ;OPPIACEI;298
2024;010;PIEMONTE;207;BI;S02                    ;OPPIACEI;166
2024;010;PIEMONTE;207;BI;S03                    ;OPPIACEI;43
2024;010;PIEMONTE;208;NO;S01                    ;OPPIACEI;131
2024;010;PIEMONTE;208;NO;S02                    ;OPPIACEI;62
2024;010;PIEMONTE;208;NO;S03                    ;OPPIACEI;114
2024;010;PIEMONTE;208;NO;S04                    ;OPPIACEI;108
2024;010;PIEMONTE;208;NO;S09                    ;OPPIACEI;10
2024;010;PIEMONTE;209;VCO;S01                    ;OPPIACEI;89
2024;010;PIEMONTE;209;VCO;S02                    ;OPPIACEI;152
2024;010;PIEMONTE;209;VCO;S03                    ;OPPIACEI;78
2024;010;PIEMONTE;209;VCO;S04                    ;OPPIACEI;2
2024;010;PIEMONTE;210;CN1;A05                    ;OPPIACEI;2
2024;010;PIEMONTE;210;CN1;S01                    ;OPPIACEI;182
2024;010;PIEMONTE;210;CN1;S04                    ;OPPIACEI;32
2024;010;PIEMONTE;210;CN1;S05                    ;OPPIACEI;72
2024;010;PIEMONTE;210;CN1;S07                    ;OPPIACEI;66
2024;010;PIEMONTE;210;CN1;S09                    ;OPPIACEI;56
2024;010;PIEMONTE;210;CN1;S11                    ;OPPIACEI;3
2024;010;PIEMONTE;210;CN1;S12                    ;OPPIACEI;7
